college_Tier,name,avg_Parent_Rank,avg_Student_Rank,pc_Parents_Q1,pc_Parents_Q5,pc_Students_Q1,pc_Students_Q5
Selective - Highly Selective,University Of North Texas,0.674930308,0.60990536,6.4119831,42.112225,11.581013,29.904956
Selective - Highly Selective,University Of North Georgia,0.683446285,0.59979934,4.5676436,38.622701,11.715931,26.534456
Selective - Highly Selective,University Of North Florida,0.648948979,0.61875206,6.2247403,34.566623,10.985155,31.577107
Selective - Highly Selective,University Of North Dakota,0.66467372,0.6822114,4.5188226,32.628566,7.0634179,42.349246
Selective - Highly Selective,University Of North Carolina At Wilmington,0.717467681,0.62286818,3.6087096,47.320253,9.9900343,30.616546
Selective - Highly Selective,University Of North Carolina At Pembroke,0.51154567,0.54402602,15.239432,15.178674,10.440957,15.089963
Selective - Highly Selective,University Of North Carolina  Asheville,0.649700813,0.57139087,5.6571834,37.50838,13.15763,22.93264
Selective - Highly Selective,University Of North Carolina - Greensboro,0.643384031,0.57666248,6.7847729,34.324431,10.099237,20.551267
Selective - Highly Selective,University Of North Carolina - Charlotte,0.655586691,0.62941754,6.5462716,36.683562,9.801583,33.017078
Selective - Highly Selective,University Of North Alabama,0.59868537,0.5690015,8.7119646,26.763302,11.505785,21.404348
Selective - Highly Selective,University Of New Orleans,0.528922263,0.57039148,16.552918,21.999089,12.716815,24.383928
Selective - Highly Selective,University Of New Mexico,0.566078825,0.56394672,13.551675,25.608957,14.265227,26.913619
Selective - Highly Selective,University Of New Haven,0.626822089,0.66447157,7.6825425,32.622993,9.218096,43.504328
Selective - Highly Selective,University Of New Hampshire,0.729721707,0.67611426,3.5816401,48.99444,7.3972285,41.225719
Selective - Highly Selective,"University Of Nevada , Reno",0.703057845,0.64349163,4.0885717,44.688964,9.7777382,37.0395
Selective - Highly Selective,University Of Nevada - Las Vegas,0.651789271,0.60697627,6.5142937,36.96717,12.688613,32.54531
Selective - Highly Selective,University Of Nebraska System,0.658901615,0.65554863,4.4165567,32.662731,7.5967759,35.64328
Selective - Highly Selective,University Of Mount Union,0.628205611,0.65640837,4.2984858,23.726119,6.6799194,32.441205
Selective - Highly Selective,University Of Mount Olive,0.485749275,0.57097906,17.657922,12.600437,12.259652,19.211712
Selective - Highly Selective,University Of Montevallo,0.644450816,0.54396725,7.1889646,31.386271,13.774973,17.039046
Selective - Highly Selective,University Of Montana Western,0.491902599,0.53367501,15.402278,10.466519,12.854174,17.559002
Selective - Highly Selective,University Of Montana,0.622356679,0.56635207,8.4313102,31.908056,10.783698,23.480579
Selective - Highly Selective,University Of Missouri System And Missouri University Of Science And Technology,0.704062117,0.67564428,3.9157424,44.623908,8.4783256,42.336774
Selective - Highly Selective,University Of Mississippi,0.706641588,0.63413292,6.9760583,49.08396,11.566851,36.547196
Selective - Highly Selective,University Of Minnesota System,0.702222025,0.67588037,3.832316,42.793268,7.4902281,41.376141
Selective - Highly Selective,University Of Michigan - Flint,0.660737654,0.58686686,6.242875,35.947466,11.613585,27.154472
Selective - Highly Selective,University Of Michigan - Dearborn,0.692528925,0.66276628,6.5978937,45.402506,11.328962,44.702202
Selective - Highly Selective,University Of Michigan - Ann Arbor,0.810743729,0.74666142,2.9959381,68.870997,8.3133832,59.90966
Selective - Highly Selective,University Of Memphis,0.607254256,0.57352173,10.180609,31.515202,11.304088,23.737589
Selective - Highly Selective,University Of Massachusetts System,0.684420689,0.67960954,5.7736896,42.662925,8.7300882,45.34643
Selective - Highly Selective,University Of Maryland System (Except University College) And Baltimore City Community College,0.674372716,0.68953747,7.6429851,45.531973,8.7676242,47.553062
Selective - Highly Selective,University Of Mary Washington,0.796431258,0.6738683,1.2670392,65.290099,10.42901,43.404779
Selective - Highly Selective,University Of Mary Hardin-Baylor,0.612970767,0.58579135,7.9837069,29.825941,14.689891,27.081031
Selective - Highly Selective,University Of Maine System,0.568126342,0.56202447,9.7396366,20.211698,11.082093,20.812885
Selective - Highly Selective,University Of Louisville,0.631746129,0.61449826,7.4549481,31.798023,8.6470284,28.670284
Selective - Highly Selective,University Of Louisiana At Lafayette,0.575585344,0.6001938,13.466993,26.493341,11.916165,29.40467
Selective - Highly Selective,University Of La Verne,0.579280156,0.65188533,12.084086,27.824163,10.998584,42.913461
Selective - Highly Selective,University Of Kentucky,0.684932735,0.61174697,5.591904,41.934454,10.223418,30.24534
Selective - Highly Selective,University Of Kansas,0.744236472,0.66088587,3.2509305,52.985716,9.3732089,40.351826
Selective - Highly Selective,University Of Iowa,0.744031401,0.69606036,3.1409197,52.181089,7.8037582,46.227211
Selective - Highly Selective,University Of Indianapolis,0.636433362,0.61286253,5.3601928,30.47342,8.1575602,26.259345
Selective - Highly Selective,University Of Illinois System,0.709892358,0.72039688,5.0846785,48.642641,8.4956065,53.894401
Selective - Highly Selective,University Of Idaho,0.642051541,0.61754626,6.4205162,31.79208,10.939982,33.579248
Selective - Highly Selective,University Of Houston System,0.5392454,0.63826895,15.731335,25.149372,11.068977,36.15872
Selective - Highly Selective,University Of Hawaii And Hawaii Community Colleges,0.575625652,0.56576109,10.804315,25.195,13.144912,23.581779
Selective - Highly Selective,University Of Hartford,0.714998388,0.65237433,4.3521419,46.618244,9.4375014,40.106505
Selective - Highly Selective,University Of Georgia,0.770010547,0.6663087,3.0116081,59.413707,11.017156,43.211222
Selective - Highly Selective,University Of Florida,0.698574084,0.70130485,6.0965687,47.375494,9.5850438,50.893867
Selective - Highly Selective,University Of Findlay,0.61235551,0.60439813,6.4376891,24.090683,9.7457319,26.438403
Selective - Highly Selective,University Of Evansville,0.686089272,0.62796694,5.0245591,40.310758,8.969228,30.690008
Selective - Highly Selective,University Of Detroit Mercy,0.607984412,0.63887161,9.951517,34.175703,10.00874,39.831585
Selective - Highly Selective,University Of Denver,0.791862018,0.66514242,2.979118,63.982272,11.235415,45.931339
Selective - Highly Selective,University Of Delaware,0.786010805,0.71635324,2.2330891,62.575102,7.6965764,52.088386
Selective - Highly Selective,University Of Dayton,0.785121296,0.71786863,1.7676987,59.032083,7.7770635,51.601279
Selective - Highly Selective,University Of Dallas,0.719054721,0.58811259,4.5936991,52.090633,16.543843,35.07086
Selective - Highly Selective,University Of Connecticut,0.724917214,0.71611166,3.6613487,49.884468,7.4682295,51.387429
Selective - Highly Selective,University Of Colorado System,0.763896481,0.65163875,3.7007682,57.881707,11.231558,42.252654
Selective - Highly Selective,University Of Cincinnati,0.63315686,0.60044819,6.5327711,30.675191,10.572029,29.301906
Selective - Highly Selective,University Of Chicago,0.764136647,0.71939719,4.3047916,58.224463,9.3065687,55.04719
Selective - Highly Selective,University Of Central Oklahoma,0.594198882,0.58705992,8.7949231,24.078335,12.279333,27.006459
Selective - Highly Selective,University Of Central Missouri,0.630697172,0.60600895,5.1035069,27.872851,9.2972949,26.302364
Selective - Highly Selective,University Of Central Florida,0.650330512,0.64973849,7.2166279,37.622845,10.182723,38.381439
Selective - Highly Selective,University Of Central Arkansas,0.582369041,0.59301913,10.891716,24.933334,11.556709,26.258266
Selective - Highly Selective,"University Of California, Santa Cruz",0.707192215,0.63391191,7.3746987,52.173072,11.737743,39.453587
Selective - Highly Selective,"University Of California, Santa Barbara",0.729650824,0.70207489,6.2115032,55.069363,9.8488189,53.256643
Selective - Highly Selective,"University Of California, San Diego",0.691959723,0.72954172,8.7772354,50.050426,9.6262582,58.451635
Selective - Highly Selective,"University Of California, Riverside",0.575710171,0.67372859,14.668724,31.774977,11.053374,46.686825
Selective - Highly Selective,"University Of California, Irvine",0.631591375,0.70583749,12.246905,40.439701,10.445037,54.31546
